"Horodateur","Tu es en...","Les raisons pour lesquelles tu prends part à un évènement entreprise...","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [1]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [2]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [3]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [4]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [5]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [6]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [7]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [8]","Les domaines d'activités qui t'intéressent le plus (1 = domaine préféré, 9 = moins intéressante) [9]","Un domaine n'apparaissant pas dans la question précédente ?","Y a-t-il un type de fonction qui t'intéresse particulièrement dans une entreprise ?
( par ex : R&D, recherche fondamentale, conseil, services et apps, etc... )","Les types d'évènements que tu préfères...","Qu'espères-tu obtenir d'un évènement entreprise","Qu'elles sont les principales choses que tu veux savoir sur une entreprise ?","Une entreprise particulière que tu aimerais rencontrer ?","Es-tu intéressé.e par la création d'un forum ""entreprises publiques"" ? ","Es-tu intéressé.e par la mise en place d'un forum sur le secteur ""énergie et environnement"" ? ","Es-tu intéressé.e par la mise en place d'un forum Start-up","Une dernière chose ? :)"
"2026/03/13 8:26:22 PM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Énergie et Environnement;Aéronautique;Économie et Finance","","","","","","","","","","","les amphis entreprises;les études de cas","","","","Why not ","oui","oui",""
"2026/03/16 6:00:17 PM UTC+2","1A IC","le domaine d'activité de l'entreprise","Environnement","Énergie","Robotique et Automatisation","Économie et Finance","Transports","Numérique, Informatique et IA","Santé et Biotechnologies","Aéronautique","Mode et Luxe","","Recherche ou R&D","les amphis entreprises;les tables rondes;les visites de site","Rencontrer des travailleurs, découvrir des entreprises et des domaines ","Variété d'emplois","Des services publics, CNRS, EDF, SNCF...","oui","oui","non",""
"2026/03/16 6:21:59 PM UTC+2","1A IC","la présence d'un repas lors de l'évènement","Aéronautique","Mode et Luxe","Santé et Biotechnologies","Numérique, Informatique et IA","Transports","Robotique et Automatisation","Environnement","Énergie","Économie et Finance","Automobile ","R&D","les amphis entreprises;les tables rondes","","","","oui","oui","oui",""
"2026/03/16 7:36:49 PM UTC+2","1A IC","la recherche d'un stage","Énergie","Environnement","Robotique et Automatisation","Numérique, Informatique et IA","Aéronautique","Mode et Luxe","Économie et Finance","Transports","Santé et Biotechnologies","","","les études de cas","","","","non","Non","oui",""
"2026/03/17 10:58:03 AM UTC+2","1A IC","le domaine d'activité de l'entreprise","Aéronautique","Énergie","Santé et Biotechnologies","Numérique, Informatique et IA","Robotique et Automatisation","Transports","Environnement","Robotique et Automatisation","Mode et Luxe","","r et d ","les tables rondes","","","","oui","oui","oui",""
"2026/03/17 11:04:38 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la politique éthique de l'entreprise;le fait de ne pas connaître l'entreprise présentée","Transports","Environnement","Aéronautique","Énergie","Robotique et Automatisation","Numérique, Informatique et IA","Économie et Finance","Mode et Luxe","Santé et Biotechnologies","","","les amphis entreprises;les visites de site","Informations générales sur l’entreprise, contacts ","Expériences concrètes de mineurs, projets en développement, opportunités ","","oui","oui","oui",""
"2026/03/17 11:04:48 AM UTC+2","2A IC","le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement","Transports","Environnement","Énergie","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Aéronautique","Économie et Finance","Mode et Luxe","","","les tables rondes","","","","oui","oui","oui",""
"2026/03/17 11:07:22 AM UTC+2","3A IC","la présence d'un repas lors de l'évènement","Énergie","Environnement","Transports","Numérique, Informatique et IA","Robotique et Automatisation","Aéronautique","Santé et Biotechnologies","Mode et Luxe","Économie et Finance","","","les amphis entreprises","une pizza","(en général si les intervenants viennent de l'entreprises ils font marchands de tapis)","","si ça remplasse d'autres amphis pourquoi pas, rajouter un évènement ne me parait pas être une bonne idée ","same","non",""
"2026/03/17 11:07:39 AM UTC+2","1A IC","la renommée de l'entreprise;le domaine d'activité de l'entreprise;la présence d'un repas lors de l'évènement","Économie et Finance","Numérique, Informatique et IA","Robotique et Automatisation","Santé et Biotechnologies","Mode et Luxe","Aéronautique","Transports","Énergie","Environnement","","","les amphis entreprises","","","","oui","Non","oui",""
"2026/03/17 11:08:01 AM UTC+2","1A IC","le domaine d'activité de l'entreprise;la recherche d'un stage;la présence d'un repas lors de l'évènement;la présence d'un cocktail lors de l'évènement","Robotique et Automatisation","Aéronautique","Numérique, Informatique et IA","Énergie","Transports","Santé et Biotechnologies","Environnement","Économie et Finance","Mode et Luxe","La défense.","","les visites de site","","","Armée de l'air et de l'espace.","Je sais pas trop. Pourquoi pas...","Non","oui","PICHE Piche Piche."
